,entity_a,entity_b,entity_spans,sentence,Financial,Partner,People,Technical
10,Fortino Capital,BE Semiconductor Industries,"[(140, 154), (60, 86)]","He currently serves as chairman of the Supervisory Board of BE Semiconductor Industries, non-executive chairman of the Supervisory Board of Fortino Capital Partners and as vice-chairman of the Supervisory Board of HAL Holding. Momenteel is Lodewijk Hijmans van den Bergh voorzitter van de RvC bij BE Semiconductor Industries, non-executive RvC-voorzitter bij Fortino Capital Partners en vice-voorzitter van de RvC van HAL Holding.",0.0,0.0,1.0,0.0
11,Fortino Capital,Kaizo,"[(281, 295), (118, 122)]","I am excited to have joined Fortino, to strengthen its Amsterdam team, and to hit the ground running working with the Kaizo team as a first investment. Amsterdamýs workforce performance management platform Kaizo has raised an additional $4 million in a seed round extension led by Fortino Capital.",1.0,0.0,0.0,0.0
12,Fortino Capital,iObeya,"[(227, 241), (12, 17)]","Massy-based iObeya, a provider of an Enterprise Visual Management software, has announced raising approximately '15.1 million in a second round of funding from Red River West with participation from Atlantic Bridge Capital and Fortino Capital Partners, bringing the total raised to date to around '17.2 million. As workplaces continue to be remote, iObeya is helping multisite teams collaborate in a virtual environment, now boosted by a $17 million round of new funding.Subscribe to the Crunchbase DailyThe investment, the France-based company's second round of funding, was led by Red River West with ",1.0,0.0,0.0,0.0
13,Fortino Capital,Red River West,"[(227, 241), (160, 173)]","Massy-based iObeya, a provider of an Enterprise Visual Management software, has announced raising approximately '15.1 million in a second round of funding from Red River West with participation from Atlantic Bridge Capital and Fortino Capital Partners, bringing the total raised to date to around '17.2 million. ",1.0,0.0,0.0,0.0
14,Fortino Capital,Maxxton,"[(95, 109), (0, 6)]","Maxxton, which is headquartered in Middelburg in the Netherlands, will receive investment from Fortino Capital as the company seeks to continue its expansion and maintain its growth into the vacation rental and serviced apartment spaces. The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton es, we have built a strong ERP software solution, initially for Roompot and today addressing the complex needs of clients all around the world. The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton founder Mampaey said: 'Over the last two decades, we have built a sthe complex needs of clients all around the world. The fragmented market of property management software offers attractive investment propositions, driven by trends in the leisure, home rental and serviced apartments industries in particular.In addition, Maxxton is in the process of rolling out the latest version of its software after reportedly receiving positive reactions from its customers.Now, as a majority shareholder, Fortino Capital will assist the company in its international expansion plans expand and its venture into parallel segments as well.Matthias Vandepitte, partner at Fortino Capital, said: 'We are delighted to support Maxxton with its ambitious growth strategy and we look forward to bringing our expertise in B2B software to Jean-Pierre and his team.'Maxxton founder Mampaey said: 'Over the last two decades, we have built a strong ERP software solution, initially for Roompot and today addressing the complex needs of clady to bring Maxxton to the next level by strengthening our commercial organisation and broadening our product offering.'For more information De investeringsportfolio van Fortino Capital bestaat onder andere uit MobileXpense, Maxxton, Dobco Medical Systems, LetsBuild, Teamleader, Bloomon. De investeringsportfolio van Fortino bestaat onder andere uit MobileXpense, Maxxton en Teamleader. De investeringsportefeuille van Fortino Capital omvat MobileXpense, Efficy CRM, Odin Groep, Tenzinger, Maxxton, LetsBuild, Teamleader en Buy Bay. Fortino Capital's investment portfolio includes MobileXpense, Efficy CRM, Odin Groep, Tenzinger, Maxxton and T",1.0,0.0,0.0,0.0
15,Fortino Capital,Bonitasoft,"[(32, 46), (67, 76)]","Out on European tour, Belgium's Fortino Capital rocks Paris, takes Bonitasoft home Antwerp-based Fortino Capital has acquired a majority stake in open-source business process management platform Bonitasoft. Out on European tour, Belgium's Fortino Capital rocks Paris, takes Bonitasoft home Antwerp-based Fortino Capital has acquired a majority stake in open-source business process management platform Bonitasoft. Through the acquisition, Fortino Capital plans to elevate Bonitasoft's profile via a new partnership strategy, namely in other French- and Spanish-speaking countries on both sides of the Atlantic as well as roll out a series of new updates in its process analytics offer.'Our customers will benefit from increased investment in R&D for an array of process automation tools for the future,' commented Bonitasoft CEO Miguel Valdes Faura. ",1.0,0.0,0.0,0.0
16,Fortino Capital,InvestLink,"[(136, 150), (153, 162)]","Reaqta haalde afgelopen mei nog in een eerste investeringsronde geld op bij Alpha Intelligence Capital (die de Series A-ronde dineert), Fortino Capital, InvestLink en Integra Partners. - Moving away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. - Moving away from the traditional cyber security model of blocking known and predictable threats, Rdeep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. Story continues""We are extremely proud to partner with AIC, a deep-technology AI investor, and InvestLink, cyber-security veterans and founders of Securelink as well as Fortino Capital a B2B SaaS specialist with operating partner. The privately held security startup in May 2021 raised an undisclosed amount of funding from Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners.",1.0,0.0,0.0,0.0
17,Fortino Capital,Verve,"[(113, 127), (172, 176)]","Salonkee's ambitions are as international as the composition of its new investors joining the company, which are Fortino Capital from Belgium, Newion from the Netherlands, Verve from Switzerland and some experienced business angels from Germany, making it one of Luxembourg's most internationally funded startups to date.'Salonkee addresses the underpenetrated market of beauty salons in continental Europe. Um das zu erreichen, baut Salonkee sein ",1.0,0.0,0.0,0.0
18,Fortino Capital,PMV,"[(130, 144), (86, 88)]","So far entrepreneurs, private investors, and institutional investors such as FPIM and PMV have committed '45 million to the fund, Fortino Capital Venture II. Belgium's Oqton scores $40 million to 'disrupt manufacturing' with a cloud-based production platform Oqton, a young 'Industry 4.0' company started by a duo of former Autodesk executives, has secured more than $40 million in Series A funding in a round led by B2B software investment firm Fortino Capital, PMV and multinational engineering group Sandvik. The round was led by Fortino Capital, PMV, and Sandvik with participation from Samir Hanna and Ben Schrauwen and angel investors Carl Bass (former CEO Autodesk), Dries Buytaert (Drupal and Acquia), and Peter Mercelis (Layerwise). Nadat de afgelopen jaren is gewerkt aan de doorontwikkeling van het platform ' met financiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½le ondersteuning vanuit private equity-aandeelhouders Fortino Capital, Participatie Maatschappij Vlaanderen (PMV) en Mainp PMV en MIF schakelde SupplyStack de hulp in van CFI om potentiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½le kopers aan tafel te krijgen en het verdere verkoopproces te orkestreren. Fortino II Growth, which has a final target of '200m, received support from private investors and entrepreneurs, and a number of institutional investors such as BNP Paribas Fortis, AG, Belfius and PMV. The round was led by London-based Keen Venture Partners, with participation from PMV and existing inv",1.0,0.0,0.0,0.0
19,Fortino Capital,AIC,"[(169, 183), (55, 57)]","Story continues""We are extremely proud to partner with AIC, a deep-technology AI investor, and InvestLink, cyber-security veterans and founders of Securelink as well as Fortino Capital a B2B SaaS specialist with operating partner. Certain existing investors, including Pires Investments, Sure Valley Ventures ('SVV') and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investors into Getvisibility, an AI-based data company. He commented: 'This latest funding round to raise '10 million, led by global venture capital investors AIC and Fortino, clearly validates the excellent investment that Getvisibility has represented to date and strongly endorses the company's business prospects going forward.Lee noted that Getvisibility is now 'well funded and clearly set on a path to make even greater progressï¿½ï¿½ï¿½nptial of this portfolio going forward.'Follow News & Updates from P",1.0,0.0,0.0,0.0
20,Fortino Capital,TMT Finance,"[(1721, 1735), (52, 62)]","The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortlists then put before an independent judging panel of 20 key deal advisers and industry experts.The shortlists for over 20 further categories will be revealed in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Global 'Germany and CEE portfolio' (CEE, Various)Vodafone's acquisition of Liberty Global's Germany and CEE portfolio for E18.4bnAdvised by LionTree, Goldman Sachs (Liberty); Robey Warshaw, UBS, Morgan Stanley (Vodafone)United Group (SE Europe, Various)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); Credit Suisse (United Group)MID-CAP TELECOM M&A DEAL OF THE YEAR 'EUROPELiberty Global 'DTH' unit (Europe Various)M7's acquisition of Liberty Global 'DTH' portfolio for E180mAdvised by Merrill Lynch International (Liberty Global)KCOM (UK)Macquarie Infrastructure and Real Assets iberum Capital (Manx Telecom)Melita (Malta)EQT's acquisition of Melita from Apax Partners and Fortino Capital for an undisclosed sumAdvised by Lazard (Apax Partners and Fortino Capital)NewVoiceMedia (UK)Vonage's acquisition of NewVoiceMedia from shareholders for US$350mAdvised by: JP Morgan (Vonage); Jefferies (NewVoiceMedia)Tele2 NL (The Netherlands)T-Mobile NL's (Deutsche Telekom) acquisition and merger with Tele2 NL for E190mAdvised by Credit Suisse, JP Morgan (DT); Rothschild (Tele2)TELECOM M&A DEAL OF THE YEAR ' ASIAEtisalat Lanka (Sri Lanka)CK Hutchison's acquisition of Etisalat Lanka from Etisalat Group for an undisclosed amount.Advised by JP Morgan (CK Hutchison)Kcell (Kazakhstan)Kazakhtelecom's acquisition of Kcell from Telia Company and Fintur Holdings for US$446m.Advised by UBS (Telia).M1 (Singapore)Keppel Corp and Singapore Press Holdingsï¿½ï¿½ta Group)Pan Asia Majestic Eagle Limited (Myanmar)TPG Capital's acquisition of Pan Asia Majestic Eagle Limited from shareholders for an undisclosed amountRedpeak Advisers (TPG Capital)Vodafone New Zealand (New Zealand)Infratil and Brookfield Asset Management's acquisition of Vodafone New Zealand from Vodafone for N$3.4bn (US$2.23bn)Advised by Deutsche Bank and Deutsche Craigs Limited (Vodafone)WTT HK (Hong Kong)HKBN's acquisition of WTT HK from TPG Capital and MBK Partners for HK$10.5bn (US$1.34bn)Advised by Goldman Sachs (WTT shareholders, MBK and TPG Capital); JP Morgan (HKBN)The TMT M&A Awards 2019 (November 26, London) is part of the three-day leadership summit, TMT World Congress 2019 . The Awards are based on nominations from the global TMT Finance network, and then analysed against the TMT Finance deal date and league tables, with final shortlists then put before an independent judging panel of 20 key deal advisers and industd in the lead up to the awards ceremony at the Leonardo Royal Hotel, London on November 26 and shine a spotlight on the key deals and people transforming the global TMT sector.THE SHORTLISTSTELECOM M&A DEAL OF THE YEAR ' EMEADNA (Finland)Telenor's acquisition of DNA from Finda Telecoms Oy and PHP Holding Oy for E1.5bnAdvised by Barclays (Telenor); Nordea (DNA shareholders)Global Telecoms Holdings (Egypt, Various) ' subject to closingVEON's mandatory tender offer for the remaining shares in GTH for US$2.3bnAdvised by Citi and LionTree (VEON)Inmarsat (UK) ' subject to closingApax, Warburg Pincus, CPPIB and OTPP's acquisition of Inmarsat from shareholders for US3.3bnAdvised by UBS (consortium); JPMorgan, PJT Partners, Credit Suisse (Inmarsat).Liberty Global 'Germany and CEE portfolio' (CEE, Various)Vodafonetarious)BC Partners' acquisition of United Group from KKR for an undisclosed amount (c. E2.6bn)Advised by Morgan Stanley, LionTree (BC Partners); ",0.0,1.0,0.0,0.0
21,Fortino Capital,the Gasan Group,"[(226, 240), (154, 168)]","The deal was announced in December between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. As announced on 8 December 2015, an agreement was reached between Melita's previous shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international investors Apax Partners (France) and Fortino Capital (Belgium) for the acquisition of the company. Melita announces Apax Partners of France and Fortino Capital of Belgium as new shareholders Melita's Board of Directors announced that an agreement has been reached between Melita's current shareholders (GMT Communications Partners, MC Venture Partners, Blackrock Communications and the Gasan Group) and international in",1.0,0.0,0.0,0.0
22,Fortino Capital,Pires,"[(133, 147), (209, 213)]","The Series A round was co-led by Luxembourg-based VC fund Alpha Intelligence Capital and Antwerp and Amsterdam-based investment firm Fortino Capital along with participation from existing investors, including Pires, Sure Valley Ventures and Manifold Investments. He commented: 'This latest funding round to raise '10 million, led by global venture capital investors AIC and Fortino, clearly validates the excellent investment that Getvisibility has represented to date and strongly endorses the company's business prospects going forward.Lee noted that Getvisibility is now 'well funded and clearly set on a path to make even greater progress', adding': 'This is yet another example of the exciting results that are",1.0,0.0,0.0,0.0
23,Fortino Capital,Sure Valley Ventures,"[(133, 147), (216, 235)]","The Series A round was co-led by Luxembourg-based VC fund Alpha Intelligence Capital and Antwerp and Amsterdam-based investment firm Fortino Capital along with participation from existing investors, including Pires, Sure Valley Ventures and Manifold Investments. Certain existing investors, including Pires Investments, Sure Valley Ventures ('SVV') and Manifold Investments Limited have also made follow-on investments alongside AIC and Fortino and other additional new investo",1.0,0.0,0.0,0.0
24,Fortino Capital,Vaultspeed,"[(188, 202), (0, 9)]","Vaultspeed raises '3.6m Series A to accelerate international growth Vaultspeed, a SaaS company specialised in data warehouse automation solutions, has closed a '3.6m Series A round led by Fortino Capital Partners. Vaultspeed raises '3.6m Series A to accelerate international growth Vaultspeed, a SaaS company specialised in data warehouse automation solutio",1.0,0.0,0.0,0.0
25,Fortino Capital,Veronique,"[(24, 38), (0, 8)]","Veronique Peeters Joins Fortino Capital as Investment Manager Zaventem, Belgium-based investment firm Fortino Capital has expanded its team by appointing Veronique Peeters as Investment Manager. Veronique Peeters Joins Fortino Capital as Investment Manager Zaventem, Belgium-based investment firm Fortino Capital has expanded its team by appo",0.0,0.0,1.0,0.0
26,Fortino Capital,ReaQta,"[(300, 314), (99, 104)]","- Moving away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners. - Moving away from the traditional cyber security model of blocking known and predictable threats, ReaQta leverages deep learning and dynamic behavioral analysis to map the status quo, identify abnormal behavior and protect against new attack techniques- New funding from Alpha Intelligence Capital, Fortino Capital, InvestLink and Integra Partners will be used to expand commercial operationsAMSTERDAM, May 19, 2021 /PRNewswire/ -- ReaQta, a leading provider of advanced cyber security solutions for the autonomous detection and response of cyber threats, has closed an over-subscribed Series A funding round led by Alpha Intelligence Capital with participation from Fortino Capital, InvestLink and Integra Partners.",1.0,0.0,0.0,0.0
27,Fortino Capital,Ventech SA,"[(2, 16), (177, 186)]","* Fortino Capital Partners NV/SA bought a majority stake in Bonitasoft SA from the software company's former investors such as Bpifrance, Auriga Capital, Serena Capital SAS and Ventech SA.",1.0,0.0,0.0,0.0
28,Fortino Capital,Serena Capital SAS,"[(2, 16), (154, 171)]","* Fortino Capital Partners NV/SA bought a majority stake in Bonitasoft SA from the software company's former investors such as Bpifrance, Auriga Capital, Serena Capital SAS and Ventech SA.",1.0,0.0,0.0,0.0
29,Fortino Capital,Bonitasoft SA,"[(2, 16), (60, 72)]","* Fortino Capital Partners NV/SA bought a majority stake in Bonitasoft SA from the software company's former investors such as Bpifrance, Auriga Capital, Serena Capital SAS and Ventech SA.",1.0,0.0,0.0,0.0
30,Fortino Capital,Prophix Software Inc.,"[(2, 16), (143, 163)]","* Fortino Capital Partners NV/SA sold SigmaConso SA, a Belgian developer of corporate performance management software, to HgCapital LLP-backed Prophix Software Inc. for an undisclosed amount.",1.0,0.0,0.0,0.0
31,Fortino Capital,SigmaConso SA,"[(2, 16), (38, 50)]","* Fortino Capital Partners NV/SA sold SigmaConso SA, a Belgian developer of corporate performance management software, to HgCapital LLP-backed Prophix Software Inc. for an undisclosed amount.",1.0,0.0,0.0,0.0
32,Fortino Capital,HgCapital LLP,"[(2, 16), (122, 134)]","* Fortino Capital Partners NV/SA sold SigmaConso SA, a Belgian developer of corporate performance management software, to HgCapital LLP-backed Prophix Software Inc. for an undisclosed amount.",1.0,0.0,0.0,0.0
33,Fortino Capital,Salonkee,"[(138, 152), (72, 79)]","After its rapid expansion from Luxembourg into Belgium and Switzerland, Salonkee just closed a '6.2 million Series A funding round led by Fortino Capital and Newion, to further accelerate its European expansion. Salonkee's ambitions are as international as the composition of its new investors joining the company, which are Fortino Capital from Belgium, Newion from the Netherlands, Verve from Switzerland and some experienced business angels from Germany, making it one of Luxembourg's most internationally funded startups to date.'Salonkee addresses the underpenetrated market of beauty salons in continental Europe. Salonkee's ambitions are as international as the composition of its new investors joining the company, which are Fortino Capital from Belgium, Newion from the Netherlands, Verve from Switzerland and some experienced business angels from Germany, making it one of Luxembourgnntinental Europe.",1.0,0.0,0.0,0.0
34,Fortino Capital,Outremer Telecom,"[(18, 32), (203, 218)]","Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",0.0,1.0,0.0,0.0
35,Fortino Capital,Telenet,"[(18, 32), (221, 227)]","Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",0.0,1.0,0.0,0.0
36,Fortino Capital,ONI,"[(18, 32), (198, 200)]","Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",0.0,1.0,0.0,0.0
37,Fortino Capital,Numericable Belgium & Luxembourg,"[(18, 32), (161, 192)]","Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg and ONI, Outremer Telecom, Telenet and Primacom. Apax Partners and Fortino Capital together bring more than 30 years of experience in the Technology, Media and Telecom (TMT) sector, alongside companies such as Numericable Belgium & Luxembourg",0.0,1.0,0.0,0.0
38,Fortino Capital,Timeseer.ai,"[(217, 231), (14, 24)]","Belgium-based Timeseer.ai, a startup helping enterprises maintain time-series data quality, has emerged from stealth with $6 million in funding led by Crane Venture Partners, with participation from Smartfin Capital, Fortino Capital, LRM, and Innovation Fund.",1.0,0.0,0.0,0.0
39,Fortino Capital,Smartfin Capital,"[(217, 231), (199, 214)]","Belgium-based Timeseer.ai, a startup helping enterprises maintain time-series data quality, has emerged from stealth with $6 million in funding led by Crane Venture Partners, with participation from Smartfin Capital, Fortino Capital, LRM, and Innovation Fund.",1.0,0.0,0.0,0.0
